brandSlug,modelSlug,categoryPath,fuelTypes,level,action
porsche,macan-electric,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
porsche,taycan,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
renault,kangoo-e-tech,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
renault,master-e-tech,arac/ticari-araclar,ELECTRIC,series,SET_FUEL_TYPES
renault,megane-e-tech,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
renault,scenic-e-tech,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
renault,zoe,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
seres,seres-3,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
seres,seres-5,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
skoda,citigo-e,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
skoda,elroq,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
skoda,enyaq,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
skywell,et5,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
skywell,ht-i,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
smart,1,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
smart,3,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
subaru,solterra,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
tesla,cybertruck,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
tesla,model-3,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
tesla,model-s,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
tesla,model-x,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
tesla,model-y,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
togg,t10f,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
togg,t10x,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
toyota,bz4x,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
toyota,proace-city-electric,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
toyota,proace-electric,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
volkswagen,id-buzz,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
volkswagen,id-3,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
volkswagen,id-4,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
volkswagen,id-5,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
volkswagen,id-7,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
volvo,c40-recharge,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
volvo,ex30,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
volvo,ex40,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
volvo,ex90,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
voyah,dream,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
voyah,free,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
voyah,passion,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
xev,yoyo,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
