electricVehicleType,brand,series,modelVariant,canonicalCategory,canonicalSubcategory,canonicalBrandId,canonicalSeriesId,canonicalVariantId,canonicalExists,fuelType,action,source,confidence
elektrikli-suv-pickup,Lexus,RZ,RZ,arac/arazi-suv-pickup,,cmshvhmvl0008uza80vavzxo0,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Lexus,UX 300e,UX 300e,arac/otomobil,,cmshvhmvl0008uza80vavzxo0,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mercedes-Benz,EQA,EQA,arac/arazi-suv-pickup,,cmshtjhqw0002uz6s4fy2hgo8,cmsi3854k01geuzbgp66cru5q,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mercedes-Benz,EQB,EQB,arac/arazi-suv-pickup,,cmshtjhqw0002uz6s4fy2hgo8,cmsi3854r01gguzbgpnunw4tp,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mercedes-Benz,EQC,EQC,arac/arazi-suv-pickup,,cmshtjhqw0002uz6s4fy2hgo8,cmsi3855201giuzbgyic3yb7w,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Mercedes-Benz,EQE,EQE,arac/otomobil,,cmshtjhqw0002uz6s4fy2hgo8,cmsi3821h00tguzbg0trq3c7l,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mercedes-Benz,EQE SUV,EQE SUV,arac/arazi-suv-pickup,,cmshtjhqw0002uz6s4fy2hgo8,cmsi3855d01gkuzbgwih96shh,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Mercedes-Benz,EQS,450+ | 580 | 53 AMG,arac/otomobil,,cmshtjhqw0002uz6s4fy2hgo8,cmsi3821o00tiuzbg1lalsq2k,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mercedes-Benz,EQS SUV,EQS SUV,arac/arazi-suv-pickup,,cmshtjhqw0002uz6s4fy2hgo8,cmsi3855m01gmuzbg4imuszqc,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mercedes-Benz,G 580 EQ,G 580 EQ,arac/arazi-suv-pickup,,cmshtjhqw0002uz6s4fy2hgo8,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,MG,Marvel R,Marvel R,arac/arazi-suv-pickup,,cmshvhmw5000auza81964swtd,cmsi3857501h0uzbgr3mhqg98,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,MG,MG4,MG4,arac/otomobil,,cmshvhmw5000auza81964swtd,cmsi3823b00twuzbgvg7dd1eh,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,MG,MG5 Electric,MG5 Electric,arac/otomobil,,cmshvhmw5000auza81964swtd,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,MG,ZS EV,ZS EV,arac/arazi-suv-pickup,,cmshvhmw5000auza81964swtd,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mini,Aceman,Aceman,arac/arazi-suv-pickup,,cmshvhmwc000buza8b00k781p,cmsi3857e01h2uzbglxud7n0w,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Mini,Cooper Electric,Cooper Electric,arac/otomobil,,cmshvhmwc000buza8b00k781p,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Mini,Countryman Electric,Countryman Electric,arac/arazi-suv-pickup,,cmshvhmwc000buza8b00k781p,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Nissan,Ariya,Ariya,arac/arazi-suv-pickup,,cmshtjhvf000fuz6s2kqdodra,cmsi3858101h8uzbgpiyqzz8c,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Nissan,Leaf,Acenta | N-Connecta | Tekna,arac/otomobil,,cmshtjhvf000fuz6s2kqdodra,cmsi382cw00vwuzbgh7pr6mhv,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-minivan-panelvan,Nissan,Townstar EV,Townstar EV,arac/minivan-panelvan,,cmshtjhvf000fuz6s2kqdodra,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Opel,Astra Electric,Astra Electric,arac/otomobil,,cmshtjhsc0008uz6sv0jjfcbv,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-minivan-panelvan,Opel,Combo Electric,Combo Electric,arac/minivan-panelvan,,cmshtjhsc0008uz6sv0jjfcbv,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Opel,Corsa Electric,Corsa Electric,arac/otomobil,,cmshtjhsc0008uz6sv0jjfcbv,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Opel,Frontera Electric,Frontera Electric,arac/arazi-suv-pickup,,cmshtjhsc0008uz6sv0jjfcbv,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Opel,Mokka Electric,Mokka Electric,arac/arazi-suv-pickup,,cmshtjhsc0008uz6sv0jjfcbv,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
