oldSlug,oldPath,oldCategoryId,targetCategoryId,targetPath,redirectType,reason,preserveSeo,active,notes
sifir-urun-kitap-dergi-film__ders-kitabi,sifir-urun/sifir-urun-kitap-dergi-film/ders-kitabi,cmsg3xiqu00iduzdceexrp97a,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kitap-dergi-film__dergi,sifir-urun/sifir-urun-kitap-dergi-film/dergi,cmsg3xir300ifuzdc6b1gd7z8,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kitap-dergi-film__dvd-bluray,sifir-urun/sifir-urun-kitap-dergi-film/dvd-bluray,cmsg3xire00ihuzdc9o46387r,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kitap-dergi-film__vinyl-cd,sifir-urun/sifir-urun-kitap-dergi-film/vinyl-cd,cmsg3xirn00ijuzdcqyfkqkbe,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik__piyano-klavye,sifir-urun/sifir-urun-muzik/piyano-klavye,cmsg3xiua00j3uzdclupvubrz,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik__bateri-perkusyon,sifir-urun/sifir-urun-muzik/bateri-perkusyon,cmsg3xiun00j5uzdc2ytyjoj1,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik__yayli,sifir-urun/sifir-urun-muzik/yayli,cmsg3xiuz00j7uzdclt9279xq,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik__uflemeli,sifir-urun/sifir-urun-muzik/uflemeli,cmsg3xiv600j9uzdc60a5kz9u,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik__dj-studio,sifir-urun/sifir-urun-muzik/dj-studio,cmsg3xivf00jbuzdcephgzpim,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik__ampli-efekt,sifir-urun/sifir-urun-muzik/ampli-efekt,cmsg3xivr00jduzdcpr0k8nwz,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik__muzik-aksesuar,sifir-urun/sifir-urun-muzik/muzik-aksesuar,cmsg3xiw100jfuzdclktt1rvs,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ofis-kirtasiye__yazici-malzeme,sifir-urun/sifir-urun-ofis-kirtasiye/yazici-malzeme,cmsg3xixx00jtuzdcpyc3m3p4,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
